label,tt,result,total_domain,profiles,edges_partial,edges_incompat
rnd_70,0x8D5288F1,UNSAT,15054,2093,128,0
rnd_71,0x4B0DBB41,UNSAT,10223,1491,144,5
rnd_72,0xD453DD32,UNSAT,8993,1238,91,0
rnd_73,0xA0EE89AE,UNSAT,38135,3392,246,0
rnd_74,0x9E574F7A,UNSAT,5765,1017,27,3
rnd_75,0xE2ACF72F,UNSAT,3083,977,185,1
rnd_76,0xDC98D2C1,UNSAT,33091,4238,98,0
rnd_77,0x5C941CF0,UNSAT,49403,4047,156,0
rnd_78,0x93CD59BF,UNSAT,1019,315,46,1
rnd_79,0x3139D32C,UNSAT,5484,915,70,4
rnd_80,0xB45ED1F0,UNSAT,16972,2063,86,6
rnd_81,0x11CE5DD2,UNSAT,8549,1464,132,0
rnd_82,0x0BBB2599,UNSAT,13586,1938,138,0
rnd_83,0xA9488D99,UNSAT,17544,2062,76,0
rnd_84,0x3A578A8E,UNSAT,11212,1537,134,4
rnd_85,0xC5E7CE8A,UNSAT,20742,3410,204,3
rnd_86,0x4A15544D,UNSAT,20808,799,55,0
rnd_87,0xFC377A4C,UNSAT,14518,2100,86,1
rnd_88,0x146D3F31,UNSAT,1712,368,84,3
rnd_89,0xDAF61A26,UNSAT,24183,2696,119,3
rnd_90,0x3B982EF8,UNSAT,9929,1902,145,1
rnd_91,0xDDD1DFB2,UNSAT,59587,4166,236,2
rnd_92,0x19DB3AD0,UNSAT,8811,1721,148,4
rnd_93,0x614FF3D7,UNSAT,1977,591,103,2
rnd_94,0x47294739,UNSAT,11891,1595,88,0
rnd_95,0x7412B293,UNSAT,6596,1236,83,1
rnd_96,0xA2BC372F,UNSAT,4119,905,131,1
rnd_97,0xD58842DE,UNSAT,11573,1572,60,1
rnd_98,0x5D65A441,UNSAT,4352,772,38,2
rnd_99,0x29A3B2E9,UNSAT,439,143,13,0
rnd_100,0x5EC42E08,UNSAT,36918,3608,175,2
rnd_101,0x5AF30553,UNSAT,3664,837,74,0
rnd_102,0x35A240AE,UNSAT,19517,2293,130,4
rnd_103,0xAB9099A4,UNSAT,21970,2828,65,0
rnd_104,0x4458A885,UNSAT,4550,1013,85,0
rnd_105,0xB3AA7EFE,UNSAT,63954,4678,228,2
rnd_106,0xEFC89849,UNSAT,15379,2981,109,0
