label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
lift_17856,0x45C045C0,UNSAT,40,0,168641,9346,438,0
lift_xor_17856,0xBA3F45C0,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_17856,0x45C00000,UNSAT,40,0,298660,10798,364,0
lift_17861,0x45C545C5,UNSAT,40,0,148635,6807,428,2
lift_xor_17861,0xBA3A45C5,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_17861,0x45C50000,UNSAT,40,0,265480,9817,387,1
lift_17868,0x45CC45CC,UNSAT,40,0,181198,9831,431,0
lift_xor_17868,0xBA3345CC,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_17868,0x45CC0000,UNSAT,40,0,278670,11507,382,0
lift_19466,0x4C0A4C0A,UNSAT,40,0,168641,9346,438,0
lift_xor_19466,0xB3F54C0A,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_19466,0x4C0A0000,UNSAT,40,0,298660,10798,364,0
lift_19469,0x4C0D4C0D,UNSAT,40,0,151718,7090,425,4
lift_xor_19469,0xB3F24C0D,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_19469,0x4C0D0000,UNSAT,40,0,279083,9809,363,2
lift_19471,0x4C0F4C0F,UNSAT,40,0,148635,6807,428,2
lift_xor_19471,0xB3F04C0F,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_19471,0x4C0F0000,UNSAT,40,0,265480,9817,387,1
lift_19525,0x4C454C45,UNSAT,40,0,151718,7090,425,4
lift_xor_19525,0xB3BA4C45,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_19525,0x4C450000,UNSAT,40,0,279083,9809,363,2
lift_19534,0x4C4E4C4E,UNSAT,40,0,181198,9831,431,0
lift_xor_19534,0xB3B14C4E,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_19534,0x4C4E0000,UNSAT,40,0,278670,11507,382,0
lift_19536,0x4C504C50,UNSAT,40,0,168641,9346,438,0
lift_xor_19536,0xB3AF4C50,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_19536,0x4C500000,UNSAT,40,0,298660,10798,364,0
lift_19541,0x4C554C55,UNSAT,40,0,148635,6807,428,2
lift_xor_19541,0xB3AA4C55,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_19541,0x4C550000,UNSAT,40,0,265480,9817,387,1
lift_19548,0x4C5C4C5C,UNSAT,40,0,181198,9831,431,0
lift_xor_19548,0xB3A34C5C,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_19548,0x4C5C0000,UNSAT,40,0,278670,11507,382,0
lift_19692,0x4CEC4CEC,UNSAT,40,0,214184,13247,412,4
lift_xor_19692,0xB3134CEC,EMPTY+GENUINE,30,10,43857,4443,198,4
lift_and_19692,0x4CEC0000,UNSAT,40,0,280215,13460,383,2
lift_19694,0x4CEE4CEE,UNSAT,40,0,195334,11601,421,2
lift_xor_19694,0xB3114CEE,EMPTY+GENUINE,30,10,31975,3541,198,2
lift_and_19694,0x4CEE0000,UNSAT,40,0,258923,12719,390,1
lift_19695,0x4CEF4CEF,UNSAT,40,0,151718,7090,425,4
lift_xor_19695,0xB3104CEF,EMPTY+GENUINE,28,12,14262,1694,168,4
lift_and_19695,0x4CEF0000,UNSAT,40,0,227820,10382,384,2
lift_19708,0x4CFC4CFC,UNSAT,40,0,195334,11601,421,2
lift_xor_19708,0xB3034CFC,EMPTY+GENUINE,30,10,31975,3541,198,2
lift_and_19708,0x4CFC0000,UNSAT,40,0,258923,12719,390,1
lift_19709,0x4CFD4CFD,UNSAT,40,0,151718,7090,425,4
lift_xor_19709,0xB3024CFD,EMPTY+GENUINE,28,12,14262,1694,168,4
lift_and_19709,0x4CFD0000,UNSAT,40,0,227820,10382,384,2
